,code
0,600051
1,600209
2,600212
3,600256
4,600576
5,600603
6,600614
7,600620
8,600622
9,600624
10,600647
11,600687
12,600701
13,600730
14,600770
15,600777
16,600800
17,600805
18,600811
19,600846
20,600892
21,000008
22,000301
23,000576
24,000632
25,000633
26,000652
27,000701
28,000839
29,000881
30,000909
31,600012
32,600020
33,600033
34,600035
35,600106
36,600269
37,600350
38,600368
39,600377
40,600548
41,601107
42,601188
43,601518
44,000429
45,000548
46,000828
47,000886
48,000900
49,000916
50,600061
51,600063
52,600527
53,600810
54,600889
55,601113
56,601233
57,000420
58,000584
59,000615
60,000677
61,000687
62,000703
63,000782
64,000936
65,000949
66,000976
67,002015
68,002064
69,002080
70,002172
71,002206
72,002254
73,002427
74,002493
75,300180
76,600031
77,600114
78,600149
79,600169
80,600218
81,600243
82,600262
83,600320
84,600346
85,600388
86,600421
87,600435
88,600475
89,600499
90,600520
91,600526
92,600579
93,600582
94,600592
95,600619
96,600710
97,600761
98,600765
99,600806
100,600815
101,600841
102,600855
103,600860
104,600984
105,601002
106,601038
107,601100
108,601106
109,601177
110,601218
111,601226
112,601369
113,601608
114,601717
115,601798
116,603011
117,603012
118,603088
119,603169
120,603308
121,603315
122,603318
123,603338
124,603355
125,603698
126,603699
127,603789
128,000039
129,000157
130,000404
131,000410
132,000425
133,000519
134,000528
135,000530
136,000551
137,000570
138,000595
139,000617
140,000678
141,000680
142,000777
143,000811
144,000816
145,000821
146,000837
147,000852
148,000856
149,000880
150,000903
151,000923
152,000925
153,002006
154,002009
155,002011
156,002026
157,002046
158,002050
159,002097
160,002101
161,002122
162,002131
163,002147
164,002150
165,002158
166,002204
167,002209
168,002248
169,002255
170,002270
171,002272
172,002278
173,002282
174,002328
175,002337
176,002342
177,002347
178,002353
179,002366
180,002413
181,002418
182,002430
183,002435
184,002438
185,002444
186,002445
187,002459
188,002472
189,002480
190,002483
191,002490
192,002499
193,002509
194,002514
195,002520
196,002523
197,002526
198,002529
199,002530
200,002532
201,002534
202,002535
203,002537
204,002552
205,002553
206,002559
207,002564
208,002591
209,002595
210,002598
211,002611
212,002613
213,002621
214,002630
215,002633
216,002639
217,002645
218,002651
219,002667
220,002680
221,002685
222,002686
223,002690
224,002691
225,002698
226,002747
227,300023
228,300024
229,300035
230,300056
231,300090
232,300091
233,300092
234,300095
235,300103
236,300116
237,300126
238,300145
239,300151
240,300152
241,300159
242,300161
243,300173
244,300185
245,300193
246,300195
247,300201
248,300202
249,300210
250,300228
251,300249
252,300257
253,300260
254,300263
255,300266
256,300272
257,300276
258,300278
259,300280
260,300281
261,300293
262,300307
263,300308
264,300309
265,300316
266,300334
267,300358
268,300362
269,300368
270,300382
271,300385
272,300391
273,300400
274,300402
275,300411
276,300415
277,300420
278,300421
279,300425
280,300427
281,300434
282,300435
283,300441
284,300442
285,300443
286,600062
287,600079
288,600080
289,600085
290,600129
291,600161
292,600196
293,600200
294,600201
295,600211
296,600216
297,600222
298,600252
299,600267
300,600276
301,600285
302,600329
303,600332
304,600351
305,600380
306,600420
307,600422
308,600436
309,600466
310,600479
311,600488
312,600513
313,600518
314,600521
315,600530
316,600535
317,600557
318,600566
319,600572
320,600594
321,600613
322,600645
323,600664
324,600666
325,600671
326,600750
327,600771
328,600781
329,600789
330,600812
331,600829
332,600867
333,600976
334,600993
335,603168
336,603222
337,603456
338,603567
339,603998
340,000004
341,000078
342,000153
343,000403
344,000423
345,000513
346,000518
