date,open,high,close,low,volume,amount
2015-03-16,13.27,13.45,13.39,13.00,81212976.0,1073862784.0
2015-03-13,13.04,13.38,13.37,13.00,40548836.0,532739744.0
2015-03-12,13.29,13.95,13.28,12.96,71505720.0,962979904.0
2015-03-11,13.35,13.48,13.15,13.00,59110248.0,780300736.0
2015-03-10,13.16,13.67,13.59,12.72,105753088.0,1393819776.0
2015-03-09,13.77,14.73,14.13,13.70,139091552.0,1994454656.0
2015-03-06,12.17,13.39,13.39,12.17,89486704.0,1167752960.0
2015-03-05,12.79,12.80,12.17,12.08,26040832.0,966927360.0
2015-03-04,13.96,13.96,13.30,12.58,26636174.0,1060270720.0
2015-03-03,12.17,13.10,13.10,12.05,19290366.0,733336768.0
2015-03-02,10.84,11.91,11.91,10.67,21216094.0,734970496.0
2015-02-27,10.65,10.83,10.83,10.31,19202922.0,603841088.0
2015-02-26,10.70,10.90,10.85,10.53,4730937.0,152642944.0
2015-02-25,10.76,10.91,10.75,10.33,4085557.0,130985088.0
2015-02-17,10.97,10.98,10.71,10.60,4756263.0,152993376.0
2015-02-16,10.73,10.94,10.89,10.53,6287669.0,203381824.0
2015-02-13,10.29,10.99,10.87,10.29,10385386.0,334657056.0
2015-02-12,10.00,10.26,10.07,9.91,5074360.0,154121504.0
2015-02-11,9.89,10.04,9.94,9.69,4586782.0,135803136.0
2015-02-10,9.58,9.95,9.87,9.55,4262254.0,125091008.0
2015-02-09,9.79,9.98,9.55,9.50,5606230.0,162308672.0
2015-02-06,10.80,10.90,9.80,9.75,9664353.0,294422176.0
2015-02-05,10.88,11.23,10.83,10.73,9880717.0,325464736.0
2015-02-04,10.36,11.22,11.14,10.23,14407480.0,460962368.0
2015-02-03,11.33,11.33,10.57,10.23,14660426.0,467450336.0
2015-02-02,10.63,11.19,11.19,10.58,8845918.0,292162496.0
2015-01-30,11.15,11.25,10.77,10.71,8300768.0,272982464.0
2015-01-29,11.40,11.70,11.10,11.04,11164137.0,379533248.0
2015-01-28,11.33,11.66,11.53,11.17,12260349.0,420657216.0
2015-01-27,12.30,12.56,12.10,11.73,9118979.0,331396768.0
2015-01-26,12.17,12.55,12.31,11.94,8692676.0,319110176.0
2015-01-23,12.84,12.99,12.41,12.33,12420845.0,468027296.0
2015-01-22,12.67,13.96,13.02,12.58,20290192.0,810993536.0
2015-01-21,13.06,13.12,12.88,12.37,16779180.0,645264256.0
2015-01-20,11.73,12.88,12.88,11.73,18304456.0,673368256.0
2015-01-19,12.03,13.03,11.71,11.33,21471180.0,787394304.0
2015-01-16,12.41,13.29,12.57,12.40,19488800.0,747840704.0
2015-01-15,13.00,13.23,12.57,12.20,23809032.0,907011392.0
2015-01-14,11.43,12.83,12.83,11.43,24429670.0,897659136.0
2015-01-13,10.75,11.91,11.66,10.52,25113128.0,838520320.0
2015-01-12,9.66,10.83,10.83,9.58,23868444.0,736970496.0
2015-01-09,9.45,10.37,9.85,9.35,24009574.0,724228736.0
2015-01-08,9.37,9.74,9.43,9.27,12825633.0,364587648.0
2015-01-07,9.08,10.09,9.74,8.73,23593546.0,682804160.0
2015-01-06,8.41,9.33,9.18,8.20,14263453.0,379474432.0
2015-01-05,8.70,9.50,8.77,8.67,11705101.0,317282432.0
